date,epiweek,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2013-12-01,201349,122,31,136,6,80,3,98,24,25,171,153,91,69,185,16,182,345,233,314,231,104,1,0,67,221,798,51
2013-12-08,201350,73,22,103,8,89,3,101,24,19,165,109,76,64,186,14,172,394,253,247,200,110,0,1,85,194,842,71
2013-12-15,201351,78,29,103,18,33,3,86,10,17,141,90,52,49,170,13,112,412,215,201,197,161,2,0,55,152,797,71
2013-12-22,201352,44,31,72,19,48,4,83,6,15,85,58,56,58,171,9,90,354,295,211,213,162,2,0,50,128,799,61
2013-12-29,201401,41,37,178,8,69,9,134,15,30,143,73,67,63,96,10,175,542,478,311,260,220,2,3,62,157,1269,126
2014-01-05,201402,45,27,280,25,104,4,132,28,53,212,106,91,66,120,10,148,797,584,370,428,297,2,6,79,218,1692,162
2014-01-12,201403,39,36,237,21,124,6,129,24,64,266,114,72,52,157,3,174,977,717,363,620,312,4,2,96,230,1865,214
2014-01-19,201404,42,41,265,13,164,2,146,19,59,403,136,84,95,162,14,226,1258,654,325,830,332,2,2,122,271,2430,225
2014-01-26,201405,54,28,253,17,153,9,121,43,69,395,180,86,120,117,11,235,1562,547,259,1279,534,0,8,151,234,2815,235
2014-02-02,201406,71,30,207,15,138,9,123,59,72,417,245,123,119,178,12,264,1946,506,272,1778,616,1,4,144,290,2855,362
2014-02-09,201407,66,46,229,17,165,7,140,55,89,438,268,118,113,177,14,261,2287,528,235,3011,743,2,21,173,307,3045,316
2014-02-16,201408,57,38,274,8,174,6,128,81,78,357,259,105,136,144,8,283,2325,562,227,3670,812,3,8,159,329,3039,306
2014-02-23,201409,57,40,258,8,137,4,107,71,81,245,170,87,123,172,15,212,2061,448,166,3725,819,0,2,105,266,2517,313
2014-03-02,201410,61,36,212,14,165,12,122,63,95,339,195,95,146,150,19,236,2134,519,179,4649,857,2,12,76,241,2486,337
2014-03-09,201411,59,45,301,14,150,11,129,69,81,378,236,140,160,193,19,367,2275,528,195,6128,1017,0,8,109,282,2886,397
2014-03-16,201412,53,70,246,15,191,16,118,94,113,408,209,115,241,206,30,407,2743,554,185,8712,1214,3,5,115,279,3341,367
2014-03-23,201413,54,59,286,19,156,43,97,94,110,367,304,116,263,251,44,473,3035,511,207,12791,1368,4,7,130,233,3534,411
2014-03-30,201414,64,90,215,21,175,70,81,89,185,538,287,173,316,205,42,570,3104,529,201,15646,1409,5,4,121,259,3528,387
2014-04-06,201415,48,67,235,12,134,61,96,86,184,481,319,151,372,269,43,681,3640,628,182,20100,1655,5,11,100,259,3752,450
2014-04-13,201416,28,79,190,6,115,44,76,87,172,511,285,156,321,219,47,606,3642,516,155,23519,1477,6,5,112,178,3327,520
2014-04-20,201417,30,81,218,20,135,65,94,100,239,607,367,191,377,285,86,764,3902,671,179,22296,1438,8,4,126,232,4131,657
2014-04-27,201418,41,112,154,23,130,89,111,88,379,654,392,201,391,277,139,614,3177,556,198,19635,1347,8,9,104,169,4030,815
2014-05-04,201419,54,101,148,22,142,164,95,87,415,701,500,261,472,337,132,550,2650,564,199,15564,1245,2,4,112,168,3893,939
2014-05-11,201420,39,91,129,15,102,101,102,88,467,825,607,240,486,463,145,522,2282,550,192,14588,1120,3,4,85,165,3650,938
2014-05-18,201421,32,103,115,28,76,92,97,61,533,883,562,246,450,443,125,655,1889,544,135,10226,844,8,1,63,127,3666,825
2014-05-25,201422,34,95,106,35,93,76,87,68,408,862,423,238,458,514,120,545,1624,563,119,7427,489,5,2,41,101,3246,794
2014-06-01,201423,37,98,95,20,65,59,106,60,487,991,344,229,456,518,126,473,1276,594,135,4679,215,1,1,36,108,2749,659
2014-06-08,201424,28,105,66,37,55,38,89,44,398,776,287,167,372,512,76,315,988,444,132,3445,229,3,1,40,92,1979,464
2014-06-15,201425,30,108,76,34,55,45,53,49,338,766,277,167,294,467,68,244,612,394,122,2863,164,0,0,31,96,1493,374
2014-06-22,201426,22,129,73,26,52,21,62,64,307,776,320,139,249,407,62,235,514,406,96,2112,162,2,2,35,70,1229,274
2014-06-29,201427,22,90,67,20,40,14,36,50,253,817,314,135,248,507,69,220,366,318,95,1460,132,1,0,43,65,1028,250
2014-07-06,201428,14,119,63,27,41,25,29,52,223,761,291,133,247,494,63,216,323,322,89,1096,83,3,1,27,61,859,232
2014-07-13,201429,21,110,46,48,35,18,24,46,256,679,200,121,220,438,44,170,224,304,92,810,87,2,1,18,49,785,142
2014-07-20,201430,15,167,48,20,49,20,18,45,195,721,207,126,173,403,48,174,180,318,75,741,69,2,0,25,60,657,113
2014-07-27,201431,15,221,42,39,35,22,32,49,116,543,199,100,120,352,43,193,170,262,86,526,56,1,1,29,55,653,104
2014-08-03,201432,17,247,60,23,36,24,28,52,112,515,177,76,133,408,22,176,132,222,78,395,57,1,0,31,40,557,57
2014-08-10,201433,15,295,52,51,33,12,28,47,99,458,185,77,121,343,31,147,130,196,96,348,55,1,0,20,60,685,56
2014-08-17,201434,13,527,51,31,33,8,29,42,116,409,144,74,110,332,33,167,127,202,90,316,66,0,1,16,51,594,24
2014-08-24,201435,13,922,42,13,55,4,24,34,68,338,116,58,83,297,24,150,110,203,96,333,58,1,0,15,44,449,20
2014-08-31,201436,17,1308,48,36,52,14,20,33,81,291,132,68,116,264,36,147,135,178,107,337,67,4,0,18,55,394,21
2014-09-07,201437,4,1760,52,29,39,15,16,35,56,272,126,54,80,227,28,130,159,203,86,331,45,1,1,23,91,508,20
2014-09-14,201438,18,1732,48,35,39,48,17,38,65,274,89,56,85,219,21,111,146,172,100,362,37,0,0,16,80,495,10
2014-09-21,201439,13,1791,38,30,58,45,24,19,56,244,119,50,102,203,23,168,139,209,95,318,50,4,0,30,49,478,16
2014-09-28,201440,25,2068,47,20,63,79,36,14,39,237,125,65,88,195,19,151,148,157,112,356,71,4,0,15,68,520,11
2014-10-05,201441,19,1802,23,31,109,90,33,12,39,195,133,60,95,158,36,145,146,126,89,373,72,5,1,35,77,616,16
2014-10-12,201442,24,1917,23,13,64,104,27,21,33,186,125,64,108,176,23,140,145,128,89,399,56,7,0,41,59,568,15
2014-10-19,201443,26,1711,35,18,40,115,39,12,38,174,117,58,128,178,22,128,156,93,95,433,91,0,0,46,72,606,8
2014-10-26,201444,51,1381,54,17,54,119,30,19,36,129,105,43,115,123,14,106,162,131,87,494,66,5,0,43,59,640,13
2014-11-02,201445,65,1291,58,15,72,95,38,23,44,172,181,69,156,130,20,116,217,155,72,582,71,0,0,36,62,615,11
2014-11-09,201446,108,1349,55,21,47,80,32,24,41,189,142,43,153,131,23,107,185,166,80,587,56,4,0,33,67,676,24
2014-11-16,201447,66,1352,46,19,49,48,39,24,48,222,127,34,163,128,23,114,234,126,69,735,84,4,1,44,84,962,16
2014-11-23,201448,54,1287,53,10,48,36,50,26,37,205,118,38,150,120,62,90,188,149,67,702,85,2,1,32,99,747,11
2014-11-30,201449,53,1048,58,30,61,32,52,47,27,231,142,63,180,85,36,132,264,136,76,949,60,0,0,47,107,893,26
2014-12-07,201450,34,914,81,15,54,33,55,63,34,266,139,49,214,94,26,102,212,134,102,1160,82,1,1,60,84,968,18
2014-12-14,201451,35,665,62,19,37,16,55,56,22,261,143,41,201,80,24,91,202,118,148,1212,89,0,2,39,87,1043,18
2014-12-21,201452,25,506,55,17,30,19,48,54,23,196,138,27,135,76,37,81,177,80,113,1458,64,3,1,50,53,812,27
2014-12-28,201453,30,379,65,10,37,44,40,63,20,228,110,31,260,66,57,92,308,122,169,2351,80,2,6,70,69,1111,70
2015-01-04,201501,48,574,73,16,70,91,80,66,54,350,287,59,435,148,68,172,643,235,439,4922,198,11,0,186,152,2233,62
2015-01-11,201502,36,619,70,30,70,74,67,130,37,371,350,45,543,188,68,153,1044,248,547,7360,269,16,1,296,149,2643,59
2015-01-18,201503,32,610,127,27,83,102,77,182,52,451,433,71,607,217,73,270,1317,201,845,13278,448,34,11,410,222,3794,74
2015-01-25,201504,32,430,76,18,103,112,94,119,56,531,405,91,669,273,67,359,1526,178,756,18581,568,82,5,485,209,4277,122
2015-02-01,201505,60,448,140,16,134,171,110,101,86,653,491,109,832,333,71,483,2028,198,825,24696,758,126,3,546,253,4788,157
2015-02-08,201506,38,339,86,14,119,87,163,128,88,567,546,121,794,246,93,513,1940,123,777,26487,737,170,9,599,221,4374,141
2015-02-15,201507,52,299,116,6,182,161,175,171,97,629,679,160,1101,257,109,700,2330,158,912,32130,850,161,11,801,282,4853,179
2015-02-22,201508,49,276,95,13,211,140,197,266,155,759,867,263,1537,226,133,1150,3053,161,1191,40325,1215,194,15,853,316,5665,177
2015-03-01,201509,64,235,136,10,255,270,288,390,252,1174,1124,365,2599,302,168,1440,4430,205,1863,52604,1862,232,28,880,373,6952,242
2015-03-08,201510,83,189,150,22,331,185,301,505,298,1490,1318,522,3319,358,192,1797,5737,291,2247,60261,2501,293,93,992,468,7313,255
2015-03-15,201511,59,201,146,18,305,178,347,567,460,1415,1400,601,4121,441,277,2495,6963,326,2793,63682,3095,363,135,1268,522,7855,283
2015-03-22,201512,47,160,116,19,283,104,384,466,604,1565,1588,665,4369,419,219,3121,7394,366,2453,54823,3468,374,155,1416,457,6849,315
2015-03-29,201513,59,96,93,16,202,128,296,501,510,1618,1368,674,4675,414,184,2677,9409,348,2553,47711,3643,334,179,1316,570,6970,341
2015-04-05,201514,76,81,119,37,265,148,332,453,552,2262,1977,907,5274,528,281,2618,13179,448,3435,54018,4325,393,250,1622,619,8195,532
2015-04-12,201515,48,60,120,17,256,84,329,425,625,2539,1588,935,5525,710,246,2446,13681,573,3610,47792,3526,343,168,1345,737,5660,644
2015-04-19,201516,67,64,102,22,229,73,277,361,496,3154,1339,1004,5572,680,182,2101,15572,705,3417,44101,3082,287,130,1363,753,7150,718
2015-04-26,201517,57,68,92,29,221,71,301,290,433,3035,1067,991,4783,699,110,1940,17565,871,3962,39129,2999,226,109,1405,770,8711,759
2015-05-03,201518,54,54,87,15,243,77,312,260,417,3691,868,1379,4570,885,146,2321,15847,981,3866,29205,2244,209,108,1090,871,8963,840
2015-05-10,201519,45,44,75,28,219,89,251,218,404,4379,724,1413,3553,853,108,2041,13381,1015,3852,19806,1400,146,45,755,876,8224,607
2015-05-17,201520,39,50,87,20,204,51,292,174,391,4295,581,1432,2957,827,78,1741,9851,917,3148,13626,1051,116,36,586,751,7248,562
2015-05-24,201521,33,39,64,18,159,48,229,151,233,3614,439,1211,2152,776,86,1772,6640,934,2538,9425,958,76,30,520,719,6074,444
2015-05-31,201522,36,48,101,24,157,46,164,134,196,3241,315,1055,1835,675,47,1434,4851,812,2270,6805,774,48,13,408,506,4690,427
2015-06-07,201523,31,29,71,47,142,51,211,124,182,3047,249,728,1713,708,34,1276,4365,958,1984,4871,584,36,17,372,504,4406,376
2015-06-14,201524,28,50,35,41,146,38,187,101,134,2957,192,511,1295,701,33,1136,3269,856,1752,3879,459,24,10,332,518,3728,319
2015-06-21,201525,25,27,31,25,102,32,145,61,74,2325,142,466,927,671,21,829,2063,682,1201,2389,227,18,6,196,365,2487,206
2015-06-28,201526,24,19,40,20,99,48,116,64,75,1880,146,475,760,636,31,946,1300,756,1009,1454,175,10,5,125,334,1766,103
2015-07-05,201527,18,21,39,27,98,32,94,59,69,1582,107,476,723,608,35,1113,1028,720,918,799,113,7,1,103,292,1146,70
2015-07-12,201528,18,13,55,43,95,31,94,38,38,1242,97,468,606,566,23,1179,728,602,823,850,87,7,2,83,201,1018,79
2015-07-19,201529,8,13,71,43,98,27,75,54,47,1045,91,380,512,498,32,1005,622,623,793,924,121,10,4,112,222,1026,82
2015-07-26,201530,10,9,42,41,112,36,83,29,37,925,111,260,450,430,27,973,448,635,701,652,102,4,4,95,192,789,42
2015-08-02,201531,16,10,48,42,129,35,73,46,29,885,80,231,508,353,30,808,363,683,694,515,90,4,3,92,192,663,37
2015-08-09,201532,10,12,38,41,139,33,73,37,46,821,65,182,578,329,170,697,309,653,655,565,109,2,4,81,267,605,32
2015-08-16,201533,18,14,36,42,122,33,57,41,29,683,63,169,520,343,206,576,271,517,492,451,74,7,10,79,260,544,35
2015-08-23,201534,9,10,38,41,110,34,42,33,27,529,42,133,526,323,179,542,218,549,439,367,61,5,3,92,183,436,23
2015-08-30,201535,11,7,30,39,104,36,49,28,17,460,40,103,899,407,175,546,215,491,385,298,53,4,4,87,196,380,20
2015-09-06,201536,20,18,49,34,145,35,21,36,30,395,51,107,849,367,310,568,195,561,365,309,51,1,2,94,187,417,18
2015-09-13,201537,11,14,48,34,98,21,32,34,21,325,45,95,907,350,355,521,282,692,332,374,48,7,4,85,169,427,23
2015-09-20,201538,21,13,30,26,106,19,46,50,14,260,52,92,737,391,433,446,254,585,361,394,66,6,3,106,182,411,10
2015-09-27,201539,26,12,52,10,104,24,34,35,22,241,47,55,1021,441,305,442,255,660,364,418,74,0,3,125,201,425,35
2015-10-04,201540,33,10,48,17,102,32,35,36,21,173,68,60,1025,445,262,395,277,845,345,412,56,5,1,113,187,437,34
2015-10-11,201541,31,21,31,5,101,16,42,32,23,150,46,44,993,508,222,385,285,747,340,469,79,4,1,142,228,578,15
2015-10-18,201542,30,16,22,9,94,14,53,68,18,122,73,48,1264,688,265,352,351,874,380,489,70,0,5,197,237,564,13
2015-10-25,201543,44,18,27,4,70,23,35,48,25,109,51,51,1740,690,230,348,384,879,351,519,75,7,3,279,235,558,20
2015-11-01,201544,36,12,30,4,106,22,61,64,10,117,64,70,2979,751,301,462,514,928,506,655,122,10,0,356,288,756,20
2015-11-08,201545,45,18,26,2,111,41,75,42,24,141,63,72,3603,1202,504,563,697,954,647,828,147,7,6,553,384,870,50
2015-11-15,201546,57,20,35,2,85,25,102,58,20,145,106,147,4203,1297,441,545,1004,889,766,1004,221,11,4,711,491,999,40
2015-11-22,201547,62,16,30,3,159,7,121,88,31,149,98,232,3568,825,595,719,1327,1120,983,1257,281,11,11,1008,713,1013,51
2015-11-29,201548,97,31,48,3,189,19,200,171,36,185,164,475,4702,863,438,1056,1851,1313,1409,1560,323,14,11,1525,1087,1446,78
2015-12-06,201549,81,51,64,11,240,18,227,160,27,194,186,834,4566,851,293,1234,2611,1761,1882,2050,456,21,13,1604,1120,1697,104
2015-12-13,201550,111,36,84,5,176,15,210,121,30,175,192,738,4185,726,161,1044,3129,1683,2204,2410,603,12,23,1754,805,1715,166
2015-12-20,201551,117,20,89,3,106,10,198,104,30,122,207,828,2909,486,77,857,3759,1490,2067,2759,628,34,14,1655,690,1842,160
2015-12-27,201552,189,27,40,2,144,11,229,89,37,104,228,673,2290,461,59,1041,5751,1783,2443,3967,776,43,31,1967,928,2108,228
2016-01-03,201601,336,30,54,6,218,26,352,264,51,235,475,849,4103,589,75,1354,10576,2701,4208,5761,1338,69,40,3352,1418,3410,536
2016-01-10,201602,417,61,96,1,340,18,411,567,64,256,687,932,4147,649,79,1766,12775,2305,3819,7080,1928,60,26,4041,1498,3951,529
2016-01-17,201603,607,105,142,4,374,38,369,699,72,323,1029,1195,4212,604,110,1757,14330,2435,4251,8508,2900,106,40,4553,1498,4456,646
2016-01-24,201604,478,161,175,3,439,44,464,938,96,472,1690,1428,4512,607,131,2382,17209,2378,3911,10179,2889,132,48,4065,1446,5044,629
2016-01-31,201605,425,228,174,0,443,33,463,828,130,509,2580,1269,4535,626,224,3209,21598,2483,3652,10465,3317,174,53,3899,1671,6464,1044
2016-02-07,201606,530,220,171,8,467,75,502,1286,115,542,3701,1404,5392,780,285,4425,26548,2718,4022,12595,3919,308,60,3691,1731,6686,1405
2016-02-14,201607,632,170,294,4,688,86,611,1380,121,834,5232,2084,4801,822,405,6432,38014,2739,4707,13029,4153,362,105,3497,1746,8719,1379
2016-02-21,201608,593,141,241,4,567,71,489,1233,106,890,5174,1881,4325,828,200,6444,42453,2518,4078,12514,4594,378,156,2902,1255,8448,1097
2016-02-28,201609,541,122,364,7,522,97,399,1915,151,876,5768,2307,3702,853,199,5691,39561,2548,3904,12205,4736,551,210,2656,1069,8082,1106
2016-03-06,201610,391,85,278,15,464,136,371,1739,120,965,4958,2415,2909,879,130,5365,38327,2452,3982,11598,4332,485,258,2203,846,7361,1200
2016-03-13,201611,295,50,199,8,417,82,254,1248,150,1007,4355,2204,2163,689,111,3933,37078,2031,4313,11558,3874,351,245,1745,636,6872,1180
2016-03-20,201612,261,71,285,12,340,60,214,1146,144,1157,3053,1905,1873,850,106,3590,31468,1692,4544,10572,4356,376,312,1662,538,5921,1037
2016-03-27,201613,270,61,393,9,417,96,244,1380,236,1494,2435,1962,1424,894,103,3208,34344,2078,5216,10430,4069,354,252,1630,496,6423,969
2016-04-03,201614,249,66,373,3,448,83,227,1278,386,1740,2082,1785,1448,710,99,2587,35626,1714,4935,9476,4018,269,252,1270,371,5937,949
2016-04-10,201615,204,58,437,1,475,64,234,1219,468,1931,2023,1673,998,628,112,1990,30729,1477,4995,8135,3635,295,256,1221,352,5446,919
2016-04-17,201616,130,46,390,1,349,54,210,1666,391,2581,1457,1177,789,661,90,1534,24494,1213,3886,6995,2981,280,277,848,223,4097,722
2016-04-24,201617,77,28,410,2,284,56,222,1314,301,2977,1245,1020,631,523,46,1174,20812,849,3536,5509,1677,236,203,533,181,3466,630
2016-05-01,201618,73,31,250,3,309,48,237,817,267,2873,1001,1104,545,581,40,1083,15119,566,2309,3492,837,84,104,288,186,2916,573
2016-05-08,201619,72,23,224,3,304,54,217,353,286,2501,938,947,497,550,32,953,9565,425,2068,2253,559,38,53,175,131,2590,487
2016-05-15,201620,55,16,225,1,181,36,145,484,218,2595,1018,1043,542,432,38,671,6561,366,1442,1722,354,27,32,112,86,2057,350
2016-05-22,201621,40,16,168,0,132,33,104,354,125,2433,707,780,408,356,39,434,3787,193,951,1113,215,14,23,77,80,1498,262
2016-05-29,201622,32,20,146,2,136,24,116,174,116,2091,656,703,368,321,26,441,2606,263,828,741,137,9,10,79,101,1224,267
2016-06-05,201623,32,10,192,4,104,19,90,120,101,1872,630,616,402,319,28,388,1547,173,683,448,67,6,5,42,79,1123,214
2016-06-12,201624,19,19,174,1,113,20,50,103,105,1827,443,520,369,327,21,283,984,126,370,394,79,2,4,22,59,868,146
2016-06-19,201625,22,17,157,3,104,21,42,82,122,1355,422,432,293,305,21,197,611,101,285,291,69,2,4,32,57,752,90
2016-06-26,201626,23,16,108,3,116,13,31,68,107,1262,351,337,274,269,22,210,392,104,284,262,72,5,4,38,52,516,73
2016-07-03,201627,18,19,116,3,96,17,34,83,76,1282,260,266,247,200,37,193,315,98,280,200,52,5,3,22,47,482,64
2016-07-10,201628,26,16,85,4,107,16,34,33,52,986,281,190,306,240,38,232,247,112,257,201,55,6,1,17,51,425,49
2016-07-17,201629,24,12,88,5,75,14,26,23,30,999,249,175,200,160,32,209,178,80,200,134,29,4,5,15,35,355,49
2016-07-24,201630,15,9,75,4,68,19,24,40,40,848,136,107,201,193,41,176,147,71,172,151,37,9,4,16,31,356,22
2016-07-31,201631,5,15,47,11,81,21,18,59,43,753,96,66,218,151,45,177,139,73,142,135,32,6,5,24,57,336,25
2016-08-07,201632,7,4,41,3,79,23,12,46,31,599,143,60,242,137,42,156,136,74,105,131,31,4,4,24,51,357,16
2016-08-14,201633,7,13,51,8,74,38,26,41,34,637,117,59,223,118,39,141,174,82,125,117,26,3,1,28,77,378,25
2016-08-21,201634,3,8,49,10,67,18,13,33,38,524,137,46,191,100,38,143,148,71,85,130,29,2,2,22,48,344,16
2016-08-28,201635,6,15,24,7,63,15,17,27,26,319,108,44,159,103,33,132,120,82,87,120,28,4,5,18,36,370,20
2016-09-04,201636,13,10,37,4,59,15,10,31,14,308,96,28,137,103,18,140,151,74,82,121,19,5,0,19,59,309,17
2016-09-11,201637,8,7,34,7,80,23,18,28,18,306,77,28,145,65,29,145,177,102,114,129,36,3,1,23,54,362,20
2016-09-18,201638,9,8,51,3,51,34,12,15,21,312,75,24,131,100,28,122,144,64,98,119,31,1,0,27,83,417,16
2016-09-25,201639,12,6,40,2,48,38,14,8,20,271,55,17,118,71,18,104,147,47,63,149,42,4,5,25,65,395,28
2016-10-02,201640,5,9,39,3,57,28,18,4,25,280,52,9,145,40,31,148,122,65,74,131,42,2,8,26,69,403,14
2016-10-09,201641,14,14,33,6,88,21,14,12,24,243,56,14,112,52,14,129,167,81,68,197,65,4,2,26,55,495,9
2016-10-16,201642,14,10,49,4,52,14,12,36,23,227,39,17,115,50,24,192,203,106,110,241,68,7,6,39,62,524,25
2016-10-23,201643,16,11,37,2,58,7,27,21,12,214,50,29,123,43,36,227,209,57,120,189,57,8,5,17,77,526,17
2016-10-30,201644,26,14,42,2,59,10,31,27,15,290,37,19,136,47,22,164,244,82,107,235,85,6,1,20,82,510,31
2016-11-06,201645,24,18,41,3,53,13,29,46,10,367,44,19,111,30,16,194,217,102,126,278,72,7,7,25,75,557,17
2016-11-13,201646,49,13,54,4,84,8,37,36,17,463,60,15,115,37,16,164,294,133,136,270,65,5,9,26,114,610,23
2016-11-20,201647,76,18,46,0,56,9,41,44,20,426,59,17,119,24,12,205,337,161,199,252,103,9,4,22,112,700,28
2016-11-27,201648,143,19,51,0,59,9,51,26,19,439,70,13,98,31,11,245,346,259,232,262,79,6,6,38,161,763,25
2016-12-04,201649,129,25,54,1,91,5,45,93,16,303,65,16,113,47,29,252,421,212,278,253,80,9,16,43,148,778,39
2016-12-11,201650,139,29,45,3,115,7,44,51,18,232,52,11,108,21,24,255,365,203,217,213,81,9,13,36,182,847,33
2016-12-18,201651,96,28,43,6,123,13,24,42,23,157,54,23,86,29,19,339,410,202,236,249,66,7,14,42,152,715,33
2016-12-25,201652,103,30,35,1,80,8,54,48,16,182,70,13,90,37,9,358,476,222,211,254,66,12,12,39,198,761,38
2017-01-01,201701,129,49,100,4,180,27,100,66,29,323,117,41,113,18,19,429,859,277,314,186,77,9,17,50,295,1081,50
2017-01-08,201702,130,58,98,2,231,37,119,93,26,410,127,36,125,42,18,405,1114,259,344,234,78,12,14,55,247,1022,43
2017-01-15,201703,144,80,134,4,369,39,130,109,42,589,101,46,115,45,13,519,1144,298,408,220,97,6,8,70,272,1290,51
2017-01-22,201704,124,85,131,1,788,35,171,104,43,644,121,37,119,38,29,445,1110,266,417,214,95,6,6,61,278,1530,61
2017-01-29,201705,142,79,214,2,901,53,184,252,44,802,121,57,112,34,11,460,997,187,415,272,68,3,6,87,304,1698,98
2017-02-05,201706,113,66,205,2,455,65,181,312,41,956,86,59,113,40,7,444,1113,156,407,259,80,4,5,76,405,1672,67
2017-02-12,201707,139,64,136,4,494,32,240,590,50,1181,129,68,127,37,12,374,1249,192,404,282,82,5,7,65,392,1761,64
2017-02-19,201708,123,35,76,4,349,37,173,625,88,1060,196,63,99,28,10,355,979,192,264,297,79,2,1,57,369,1497,48
2017-02-26,201709,105,49,104,1,400,52,214,490,73,1148,271,94,110,39,9,335,1090,327,338,246,59,9,7,52,360,1738,76
2017-03-05,201710,125,66,110,2,414,64,175,373,132,1451,366,78,154,55,11,296,1286,352,358,272,49,8,1,52,456,2202,113
2017-03-12,201711,81,52,121,10,398,39,211,291,120,1620,279,103,153,40,10,268,1182,329,382,256,72,7,2,54,379,2327,130
2017-03-19,201712,61,39,178,15,295,29,259,309,168,1826,238,107,191,51,24,310,1140,251,385,264,51,3,5,65,488,2383,171
2017-03-26,201713,51,36,137,10,192,22,192,243,155,2484,204,103,143,70,29,310,1045,204,338,241,40,4,6,57,441,1937,155
2017-04-02,201714,42,44,150,6,178,30,207,217,181,2956,263,73,152,64,18,319,943,211,314,236,34,4,3,66,342,2409,155
2017-04-09,201715,47,45,156,9,128,29,205,230,210,3363,241,83,139,48,18,272,817,176,282,224,44,2,1,47,330,2295,157
2017-04-16,201716,26,27,102,10,95,19,226,250,236,2955,240,79,277,86,23,259,907,201,364,236,36,5,3,41,268,2574,147
2017-04-23,201717,22,13,84,8,77,21,174,211,232,2798,185,81,202,113,16,216,764,172,349,161,26,9,3,32,244,2650,160
2017-04-30,201718,29,30,85,12,132,28,210,221,244,1858,200,69,255,79,22,202,821,212,325,175,34,4,4,34,188,3083,195
2017-05-07,201719,20,21,52,12,116,23,187,227,307,1762,206,71,277,131,20,236,678,202,259,144,32,4,2,34,228,2962,191
2017-05-14,201720,21,18,66,8,104,20,187,220,418,1527,139,95,328,125,20,205,593,139,268,142,31,2,1,34,226,2718,207
2017-05-21,201721,13,21,60,15,62,35,171,127,364,1093,101,82,241,80,10,194,532,146,187,120,31,3,4,32,174,2465,244
2017-05-28,201722,20,23,48,11,53,17,119,133,244,998,148,97,253,142,13,181,530,156,252,144,19,4,1,25,173,2585,236
2017-06-04,201723,13,18,48,13,58,14,105,136,219,830,149,75,340,145,18,152,407,119,237,89,23,2,0,21,129,2063,191
2017-06-11,201724,17,15,48,10,45,6,68,113,228,573,177,84,303,155,10,131,307,86,156,92,25,1,1,20,114,1592,173
2017-06-18,201725,18,4,54,6,59,7,63,115,189,466,145,87,231,78,8,136,296,127,173,80,12,4,0,29,105,1455,123
2017-06-25,201726,9,14,39,12,59,5,51,73,132,456,100,80,185,99,8,140,240,96,153,90,17,1,1,20,117,1155,115
2017-07-02,201727,12,16,44,6,55,0,32,58,151,405,101,66,181,69,3,149,146,54,154,66,19,1,0,15,70,754,56
2017-07-09,201728,6,17,44,10,43,4,27,72,123,289,98,72,205,69,9,144,134,49,133,78,12,1,3,19,73,660,34
2017-07-16,201729,11,10,43,10,43,7,29,72,91,216,131,85,148,70,8,88,138,62,104,65,10,0,2,7,59,506,31
2017-07-23,201730,12,12,62,7,44,5,31,37,63,259,98,92,129,54,2,90,107,67,99,55,10,3,2,20,69,393,24
2017-07-30,201731,10,11,42,7,48,10,44,70,65,181,127,108,190,60,10,90,107,85,94,66,21,0,2,19,60,424,18
2017-08-06,201732,12,10,67,2,54,5,22,63,52,172,172,93,158,55,7,111,110,55,78,87,17,2,0,20,70,383,26
2017-08-13,201733,12,10,53,8,53,4,27,42,39,141,159,131,136,43,9,99,123,55,81,75,17,0,0,15,82,378,41
2017-08-20,201734,11,11,49,3,57,2,13,54,63,105,142,93,154,54,5,91,109,50,71,100,27,1,0,16,65,344,25
2017-08-27,201735,10,11,67,1,29,2,15,38,64,85,121,77,134,36,8,97,101,52,74,118,27,2,2,19,49,371,21
2017-09-03,201736,13,6,68,4,33,4,11,39,38,91,116,55,120,49,17,54,114,30,69,113,35,1,0,19,43,285,27
2017-09-10,201737,12,16,79,4,35,4,18,36,28,101,130,93,118,31,10,62,138,52,69,153,53,4,3,30,45,377,38
2017-09-17,201738,12,3,53,3,34,8,14,21,23,74,129,74,92,36,15,77,117,50,89,202,55,1,3,37,47,372,24
2017-09-24,201739,10,11,62,0,50,8,10,24,17,62,72,67,112,33,10,82,117,41,73,193,44,3,1,24,46,365,24
2017-10-01,201740,11,21,48,3,36,5,20,23,20,67,93,70,91,30,16,74,147,48,109,222,36,2,3,24,53,415,27
2017-10-08,201741,7,25,30,3,51,9,13,17,20,63,85,81,94,37,10,59,131,50,101,232,38,5,2,34,47,451,33
2017-10-15,201742,6,38,24,3,48,5,22,23,17,62,110,72,96,30,5,98,173,48,111,220,51,2,5,46,83,591,20
2017-10-22,201743,10,23,17,0,44,4,27,22,11,47,94,43,94,30,6,80,139,51,93,216,35,4,3,38,56,416,23
2017-10-29,201744,12,31,25,2,40,6,19,26,14,73,108,92,69,24,10,67,142,38,81,208,31,3,4,64,57,345,25
2017-11-05,201745,12,41,39,3,54,6,14,41,15,78,131,72,85,38,10,59,128,52,110,235,46,3,2,66,73,480,36
2017-11-12,201746,26,55,25,1,43,0,22,30,12,65,90,84,75,31,10,76,164,41,135,227,48,4,2,85,76,531,35
